numero,annee,article,bureau,code_commission,code_imp,commissionnaire,importateur,numero.1,origine,produit,provenance,regime,date,libelle_produit,origine_encoded,provenance_encoded,importateur_encoded,commissionnaire_encoded,regime_encoded,pays_correspondance,transaction_repetitivite,risk_score,risk_category
37899,2018,5,15M,29634,24569,Ebonulauboes,Agusbebebiguscio,17442,SÉNÉGAL,303890000,SÉNÉGAL,6171,27/09/2018,"-AUTRES POISSONS À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0303.91 À 0303.99:
-- AUTRES",96,93,196,211,48,1,0.08720930232558138,0.035092830149082134,Vert (Risque Faible)
37900,2018,2,10S,28681,81406,Alfrifrilius,Begusbolus,11525,CHINE,9603100000,CHINE,8797,20/12/2017,"- Balais et balayettes consistant en brindilles ouautres matieres vegetales en bottes liees, emmanches ou non                                                                                                                                                  ",21,21,1278,26,67,1,0.06686046511627906,0.10993925584786969,Vert (Risque Faible)
37901,2019,3,19C,26871,124671,Dunus,Braubinulaufritor,18323,PAYS-BAS,1516209000,PAYS-BAS,8797,05/12/2019,#NOM?,76,74,1566,205,67,1,0.014534883720930232,0.2412460833996823,Vert (Risque Faible)
37902,2018,1,15M,6482,6482,Bafribofridatus,Enulius,17456,SÉNÉGAL,303890000,SÉNÉGAL,6171,05/10/2018,"-AUTRES POISSONS À L EXCLUSION DES ABATS DE POISSONS COMESTIBLES DES N°S 0303.91 À 0303.99:
-- AUTRES",96,93,2746,77,48,1,0.561046511627907,0.3437755013947136,Vert (Risque Faible)
37903,2019,1,19C,98665,53382,Bifrigubugusaulius,Babufribonulius,18354,FRANCE,8701202000,BELGIQUE,8797,21/12/2019,-- UsagÃ©s,35,11,986,119,67,0,0.0,0.5878481060947479,Orange (Risque Modéré)
37904,2019,1,19C,20599,16949,Dagufribocus,Bebigusguscus,18369,ESPAGNE,2202999000,ESPAGNE,8797,21/12/2019,- AUTRES :-- AUTRES :--- AUTRES,33,33,1155,141,67,1,0.014534883720930232,0.21471036277679242,Vert (Risque Faible)
37905,2019,3,19C,2,88,Dobigusgudabotor,Bebigusdatus,18370,JAPON,8502209000,FRANCE,8797,21/12/2019,#NOM?,53,35,1153,173,67,0,0.10174418604651161,0.6845973662934486,Orange (Risque Modéré)
37906,2019,4,19C,32440,152,Ebefritin,Dubigusnulaubucus,18381,FRANCE,3920201000,FRANCE,8797,21/12/2019,-- non imprimÃ©es,35,35,2370,207,67,1,0.046511627906976744,0.1351097854528071,Vert (Risque Faible)
37907,2019,4,19C,34370,134147,Bidabefrigubutin,Abobeboguscio,18390,FRANCE,8418299000,FRANCE,8797,21/12/2019,#NOM?,35,35,53,115,67,1,0.0,0.23928349997090725,Vert (Risque Faible)
37908,2019,3,19C,26871,87371,Dunus,Algusbuguscus,18413,FRANCE,8418309000,FRANCE,8797,21/12/2019,#NOM?,35,35,416,205,67,1,0.0,0.03142193833823036,Vert (Risque Faible)
